Date      Temp  Humi  Wind  Rain   UV     Weather
01/01/12  26.3  54.7   5.3  0.00  0.33    cold-windy
01/02/12  25.5  60.6   3.2  0.00  0.35    cold-overcast
01/03/12  47.7  38.8   7.4  0.00  0.34    mild-windy
01/04/12  43.6  46.2   1.1  0.00  0.38    mild-overcast
01/05/12  52.9  37.2   3.9  0.00  0.45    mild-overcast
01/06/12  37.9  37.9   7.7  0.00  0.37    mild-windy
01/07/12  29.6  47.4   1.9  0.00  0.00    cold-overcast
01/09/12  48.3  44.0   3.7  0.00  0.55    mild-sunny
01/10/12  43.8  51.5   7.8  0.00  0.40    mild-windy
01/11/12  18.5  55.0  14.8  0.00  0.34    cold-windy
01/12/12  24.4  44.2   7.5  0.00  0.31    cold-windy
01/13/12  33.3  49.3   8.7  0.00  0.37    mild-windy
01/14/12  34.5  39.0   3.9  0.00  0.37    mild-overcast
01/15/12  34.1  45.2   6.0  0.00  0.37    mild-windy
01/16/12  11.6  76.2   7.9  0.00  0.22    cold-windy
01/17/12  12.4  66.5   2.6  0.00  0.37    cold-overcast
01/18/12  12.9  53.4   9.9  0.00  0.33    cold-windy
01/19/12   3.9  69.5   6.9  0.00  0.39    cold-windy
01/20/12   8.5  70.4   7.1  0.00  0.38    cold-windy
01/21/12  34.7  64.7   4.6  0.00  0.31    mild-overcast
01/22/12  36.4  60.0  14.3  0.23  0.31    mild-rainy
01/23/12  30.4  51.4   2.1  0.00  0.48    mild-overcast
01/24/12  31.4  65.9   4.5  0.06  0.40    mild-overcast
01/25/12  34.4  59.1   4.7  0.04  0.41    mild-overcast
01/26/12  36.6  45.7   6.2  0.00  0.00    mild-windy
02/24/12  25.9  75.5   3.4  0.00  0.20    cold-overcast
02/25/12  34.3  60.4  11.5  0.01  0.83    mild-windy
02/26/12  24.7  62.7  10.8  0.01  0.54    cold-windy
02/27/12  23.9  64.1   8.6  0.00  0.72    cold-windy
02/28/12  18.9  80.6   7.6  0.00  0.38    cold-windy
02/29/12  31.8  60.3   5.0  0.00  0.86    mild-windy
